iter	Passed	Remaining
781	3749	1045
782	3753	1040
783	3758	1035
784	3763	1030
785	3767	1025
786	3771	1020
787	3776	1016
788	3781	1011
789	3786	1006
790	3790	1001
791	3795	996
792	3799	991
793	3804	987
794	3809	982
795	3814	977
796	3818	972
797	3824	968
798	3828	963
799	3833	958
800	3837	953
801	3842	948
802	3846	943
803	3851	938
804	3855	933
805	3860	929
806	3864	924
807	3869	919
808	3873	914
809	3878	909
810	3883	904
811	3887	900
812	3892	895
813	3897	890
814	3902	885
815	3906	880
816	3911	876
817	3916	871
818	3920	866
819	3925	861
820	3929	856
821	3934	851
822	3938	847
823	3944	842
824	3948	837
825	3953	832
826	3957	827
827	3962	823
828	3967	818
829	3971	813
830	3976	808
831	3981	803
832	3985	799
833	3990	794
834	3995	789
835	4000	784
836	4005	779
837	4009	775
838	4014	770
839	4019	765
840	4023	760
841	4028	755
842	4033	751
843	4037	746
844	4042	741
845	4046	736
846	4051	731
847	4056	727
848	4061	722
849	4066	717
850	4070	712
851	4075	707
852	4079	703
853	4084	698
854	4088	693
855	4093	688
856	4098	683
857	4103	679
858	4107	674
859	4112	669
860	4117	664
861	4121	659
862	4126	655
863	4131	650
864	4135	645
865	4140	640
866	4145	635
867	4150	631
868	4154	626
869	4160	621
870	4164	616
871	4169	611
872	4173	607
873	4178	602
874	4182	597
875	4187	592
876	4192	587
877	4196	583
878	4202	578
879	4207	573
880	4212	568
881	4216	564
882	4221	559
883	4225	554
884	4230	549
885	4235	544
886	4239	540
887	4244	535
888	4249	530
889	4254	525
890	4258	520
891	4263	516
892	4268	511
893	4272	506
894	4277	501
895	4282	497
896	4286	492
897	4291	487
898	4296	482
899	4301	477
900	4306	473
901	4310	468
902	4315	463
903	4319	458
904	4324	453
905	4329	449
906	4333	444
907	4338	439
908	4343	434
909	4348	430
910	4352	425
911	4357	420
912	4362	415
913	4367	410
914	4372	406
915	4376	401
916	4381	396
917	4386	391
918	4391	387
919	4395	382
920	4400	377
921	4405	372
922	4410	367
923	4414	363
924	4419	358
925	4423	353
926	4428	348
927	4433	343
928	4437	339
929	4442	334
930	4447	329
931	4451	324
932	4456	320
933	4461	315
934	4465	310
935	4470	305
936	4475	300
937	4479	296
938	4484	291
939	4488	286
940	4493	281
941	4497	276
942	4502	272
943	4507	267
944	4511	262
945	4515	257
946	4520	252
947	4524	248
948	4528	243
949	4533	238
950	4537	233
951	4542	229
952	4546	224
953	4551	219
954	4555	214
955	4560	209
956	4565	205
957	4569	200
958	4573	195
959	4578	190
960	4583	186
961	4588	181
962	4592	176
963	4597	171
964	4601	166
965	4606	162
966	4610	157
967	4614	152
968	4619	147
969	4624	143
970	4628	138
971	4633	133
972	4638	128
973	4642	123
974	4647	119
975	4652	114
976	4656	109
977	4661	104
978	4666	100
979	4670	95
980	4675	90
981	4680	85
982	4684	81
983	4689	76
984	4694	71
985	4699	66
986	4704	61
987	4708	57
988	4713	52
989	4718	47
990	4722	42
991	4727	38
992	4732	33
993	4737	28
994	4742	23
995	4746	19
996	4751	14
997	4755	9
998	4760	4
999	4765	0
